#phase,      #real(PD),      #real(PA)
  0.00,  0.6564893E+00,  0.8568608E+02
  0.10,  0.9632521E+00,  0.1453154E+03
  0.20,  0.9987986E+00,  0.1584565E+03
  0.30,  0.9992203E+00,  0.1588786E+03
  0.40,  0.9739399E+00,  0.1478353E+03
  0.50,  0.6564893E+00,  0.9431392E+02
  0.60,  0.9632521E+00,  0.3468460E+02
  0.70,  0.9987986E+00,  0.2154352E+02
  0.80,  0.9992203E+00,  0.2112144E+02
  0.90,  0.9739399E+00,  0.3216469E+02
