#phase,      #real(PD),      #real(PA)
  0.00,  0.9162790E+00,  0.8794195E+02
  0.10,  0.9303597E+00,  0.1278710E+03
  0.20,  0.9485491E+00,  0.1625534E+03
  0.30,  0.9494874E+00,  0.1422983E+02
  0.40,  0.9326545E+00,  0.4840377E+02
  0.50,  0.9162790E+00,  0.8794195E+02
  0.60,  0.9303597E+00,  0.1278710E+03
  0.70,  0.9485491E+00,  0.1625534E+03
  0.80,  0.9494874E+00,  0.1422983E+02
  0.90,  0.9326545E+00,  0.4840377E+02
