#phase,      #real(PD),      #real(PA)
  0.00,  0.2063779E+00,  0.7771852E+02
  0.10,  0.9819385E+00,  0.1611064E+03
  0.20,  0.9995819E+00,  0.1691673E+03
  0.30,  0.9997267E+00,  0.1693968E+03
  0.40,  0.9884375E+00,  0.1628336E+03
  0.50,  0.2063779E+00,  0.1022815E+03
  0.60,  0.9819385E+00,  0.1889357E+02
  0.70,  0.9995819E+00,  0.1083275E+02
  0.80,  0.9997267E+00,  0.1060325E+02
  0.90,  0.9884375E+00,  0.1716636E+02
