#phase,      #real(PD),      #real(PA)
  0.00,  0.9907333E+00,  0.8937758E+02
  0.10,  0.9913203E+00,  0.1016339E+03
  0.20,  0.9931814E+00,  0.1124742E+03
  0.30,  0.9953089E+00,  0.1194127E+03
  0.40,  0.9833444E+00,  0.1161193E+03
  0.50,  0.9286713E+00,  0.9165526E+02
  0.60,  0.9792074E+00,  0.6525423E+02
  0.70,  0.9953099E+00,  0.6028970E+02
  0.80,  0.9934260E+00,  0.6659706E+02
  0.90,  0.9914508E+00,  0.7718998E+02
