#phase,      #real(PD),      #real(PA)
  0.00,  0.9914239E+00,  0.8935087E+02
  0.10,  0.9929888E+00,  0.1019255E+03
  0.20,  0.9968188E+00,  0.1118294E+03
  0.30,  0.9994923E+00,  0.1161061E+03
  0.40,  0.9908830E+00,  0.1103542E+03
  0.50,  0.9702705E+00,  0.9117055E+02
  0.60,  0.9887374E+00,  0.7098573E+02
  0.70,  0.9994228E+00,  0.6392500E+02
  0.80,  0.9972198E+00,  0.6743428E+02
  0.90,  0.9933094E+00,  0.7691858E+02
