#phase,      #real(PD),      #real(PA)
  0.00,  0.9922586E+00,  0.8938219E+02
  0.10,  0.9940328E+00,  0.1012485E+03
  0.20,  0.9978948E+00,  0.1100183E+03
  0.30,  0.9996557E+00,  0.1128352E+03
  0.40,  0.9928138E+00,  0.1067078E+03
  0.50,  0.9818314E+00,  0.9092244E+02
  0.60,  0.9914847E+00,  0.7449012E+02
  0.70,  0.9994881E+00,  0.6732409E+02
  0.80,  0.9982476E+00,  0.6938591E+02
  0.90,  0.9943838E+00,  0.7768546E+02
