#phase,      #real(PD),      #real(PA)
  0.00,  0.9543583E+00,  0.8848792E+02
  0.10,  0.9530902E+00,  0.1188591E+03
  0.20,  0.9478533E+00,  0.1502225E+03
  0.30,  0.9350726E+00,  0.4236871E+01
  0.40,  0.9121798E+00,  0.4322371E+02
  0.50,  0.8954281E+00,  0.8770298E+02
  0.60,  0.9096725E+00,  0.1325404E+03
  0.70,  0.9332079E+00,  0.1721261E+03
  0.80,  0.9469916E+00,  0.2653062E+02
  0.90,  0.9527857E+00,  0.5806992E+02
