#phase,      #real(PD),      #real(PA)
  0.00,  0.9581174E+00,  0.8855761E+02
  0.10,  0.9701415E+00,  0.1159061E+03
  0.20,  0.9871891E+00,  0.1360732E+03
  0.30,  0.9962476E+00,  0.1482260E+03
  0.40,  0.9948458E+00,  0.1502691E+03
  0.50,  0.4061906E+00,  0.9693862E+02
  0.60,  0.9900052E+00,  0.3081662E+02
  0.70,  0.9968659E+00,  0.3098816E+02
  0.80,  0.9884096E+00,  0.4236815E+02
  0.90,  0.9721221E+00,  0.6169532E+02
