#phase,      #real(PD),      #real(PA)
  0.00,  0.9305344E+00,  0.8812700E+02
  0.10,  0.9392482E+00,  0.1247701E+03
  0.20,  0.9511427E+00,  0.1578455E+03
  0.30,  0.9486347E+00,  0.9234855E+01
  0.40,  0.9240617E+00,  0.4456993E+02
  0.50,  0.8973010E+00,  0.8771797E+02
  0.60,  0.9205074E+00,  0.1314589E+03
  0.70,  0.9472616E+00,  0.1675143E+03
  0.80,  0.9516927E+00,  0.1901582E+02
  0.90,  0.9407236E+00,  0.5174560E+02
