#phase,      #real(PD),      #real(PA)
  0.00,  0.9683060E+00,  0.8876706E+02
  0.10,  0.9671510E+00,  0.1135539E+03
  0.20,  0.9620177E+00,  0.1393643E+03
  0.30,  0.9453060E+00,  0.1684279E+03
  0.40,  0.8827022E+00,  0.2702476E+02
  0.50,  0.7653574E+00,  0.8657080E+02
  0.60,  0.8709044E+00,  0.1481061E+03
  0.70,  0.9421615E+00,  0.8308313E+01
  0.80,  0.9610998E+00,  0.3793278E+02
  0.90,  0.9668699E+00,  0.6393357E+02
