#phase,      #real(PD),      #real(PA)
  0.00,  0.9836069E+00,  0.8910064E+02
  0.10,  0.9883596E+00,  0.1061641E+03
  0.20,  0.9965994E+00,  0.1180169E+03
  0.30,  0.9996891E+00,  0.1216143E+03
  0.40,  0.9875470E+00,  0.1136232E+03
  0.50,  0.9626036E+00,  0.9133674E+02
  0.60,  0.9848621E+00,  0.6799622E+02
  0.70,  0.9994373E+00,  0.5858650E+02
  0.80,  0.9972364E+00,  0.6121308E+02
  0.90,  0.9892196E+00,  0.7234860E+02
