#phase,      #real(PD),      #real(PA)
  0.00,  0.8619165E+00,  0.8736492E+02
  0.10,  0.9360798E+00,  0.1338490E+03
  0.20,  0.9791691E+00,  0.1607931E+03
  0.30,  0.9834209E+00,  0.1793428E+03
  0.40,  0.9441361E+00,  0.2291381E+02
  0.50,  0.6129269E+00,  0.8531923E+02
  0.60,  0.9300956E+00,  0.1534893E+03
  0.70,  0.9826461E+00,  0.1788000E+03
  0.80,  0.9806130E+00,  0.1718632E+02
  0.90,  0.9438864E+00,  0.4266986E+02
