#phase,      #real(PD),      #real(PA)
  0.00,  0.9980043E+00,  0.8968811E+02
  0.10,  0.9986531E+00,  0.9556539E+02
  0.20,  0.9997707E+00,  0.9926871E+02
  0.30,  0.9998407E+00,  0.9945685E+02
  0.40,  0.9987736E+00,  0.9606536E+02
  0.50,  0.9980043E+00,  0.9031189E+02
  0.60,  0.9986531E+00,  0.8443461E+02
  0.70,  0.9997707E+00,  0.8073129E+02
  0.80,  0.9998407E+00,  0.8054315E+02
  0.90,  0.9987736E+00,  0.8393464E+02
