#phase,      #real(PD),      #real(PA)
  0.00,  0.9840348E+00,  0.8911083E+02
  0.10,  0.9876887E+00,  0.1061898E+03
  0.20,  0.9950691E+00,  0.1191131E+03
  0.30,  0.9996249E+00,  0.1247450E+03
  0.40,  0.9864196E+00,  0.1180862E+03
  0.50,  0.9399767E+00,  0.9168418E+02
  0.60,  0.9824239E+00,  0.6361690E+02
  0.70,  0.9996118E+00,  0.5523871E+02
  0.80,  0.9957465E+00,  0.5994544E+02
  0.90,  0.9883849E+00,  0.7227170E+02
