#phase,      #real(PD),      #real(PA)
  0.00,  0.9611719E+00,  0.8860397E+02
  0.10,  0.9632444E+00,  0.1162727E+03
  0.20,  0.9659412E+00,  0.1428406E+03
  0.30,  0.9591428E+00,  0.1697450E+03
  0.40,  0.9031143E+00,  0.2445737E+02
  0.50,  0.7246059E+00,  0.8618366E+02
  0.60,  0.8893688E+00,  0.1509462E+03
  0.70,  0.9571314E+00,  0.7350126E+01
  0.80,  0.9659197E+00,  0.3454224E+02
  0.90,  0.9636123E+00,  0.6101684E+02
