#phase,      #real(PD),      #real(PA)
  0.00,  0.9945974E+00,  0.8951729E+02
  0.10,  0.9952579E+00,  0.9892251E+02
  0.20,  0.9970830E+00,  0.1065687E+03
  0.30,  0.9982919E+00,  0.1099872E+03
  0.40,  0.9922454E+00,  0.1054223E+03
  0.50,  0.9806541E+00,  0.9087380E+02
  0.60,  0.9909275E+00,  0.7562141E+02
  0.70,  0.9981833E+00,  0.7003785E+02
  0.80,  0.9972876E+00,  0.7284856E+02
  0.90,  0.9953996E+00,  0.8020043E+02
