#phase,      #real(PD),      #real(PA)
  0.00,  0.9363151E+00,  0.8820494E+02
  0.10,  0.9395170E+00,  0.1238009E+03
  0.20,  0.9439911E+00,  0.1580575E+03
  0.30,  0.9409242E+00,  0.1196851E+02
  0.40,  0.9282455E+00,  0.4822285E+02
  0.50,  0.9182941E+00,  0.8796471E+02
  0.60,  0.9267590E+00,  0.1279423E+03
  0.70,  0.9400343E+00,  0.1645563E+03
  0.80,  0.9441253E+00,  0.1857452E+02
  0.90,  0.9400810E+00,  0.5270738E+02
