#phase,      #real(PD),      #real(PA)
  0.00,  0.9915465E+00,  0.8935819E+02
  0.10,  0.9946018E+00,  0.1013501E+03
  0.20,  0.9991645E+00,  0.1086111E+03
  0.30,  0.9994233E+00,  0.1089703E+03
  0.40,  0.9951351E+00,  0.1023491E+03
  0.50,  0.9915465E+00,  0.9064181E+02
  0.60,  0.9946018E+00,  0.7864988E+02
  0.70,  0.9991645E+00,  0.7138887E+02
  0.80,  0.9994233E+00,  0.7102968E+02
  0.90,  0.9951351E+00,  0.7765089E+02
