#phase,      #real(PD),      #real(PA)
  0.00,  0.9387458E+00,  0.8826561E+02
  0.10,  0.9695293E+00,  0.1194025E+03
  0.20,  0.9949575E+00,  0.1362579E+03
  0.30,  0.9996909E+00,  0.1404792E+03
  0.40,  0.9766540E+00,  0.1304202E+03
  0.50,  0.8683761E+00,  0.9253141E+02
  0.60,  0.9692845E+00,  0.5188038E+02
  0.70,  0.9993746E+00,  0.3974743E+02
  0.80,  0.9960711E+00,  0.4280634E+02
  0.90,  0.9734875E+00,  0.5822409E+02
