#phase,      #real(PD),      #real(PA)
  0.00,  0.9923127E+00,  0.8938558E+02
  0.10,  0.9947500E+00,  0.1009813E+03
  0.20,  0.9989134E+00,  0.1085213E+03
  0.30,  0.9995680E+00,  0.1095539E+03
  0.40,  0.9947743E+00,  0.1031464E+03
  0.50,  0.9900166E+00,  0.9069363E+02
  0.60,  0.9941011E+00,  0.7788618E+02
  0.70,  0.9993299E+00,  0.7074825E+02
  0.80,  0.9991958E+00,  0.7105774E+02
  0.90,  0.9951959E+00,  0.7802569E+02
