#phase,      #real(PD),      #real(PA)
  0.00,  0.8746034E+00,  0.8750016E+02
  0.10,  0.9478079E+00,  0.1309705E+03
  0.20,  0.9881648E+00,  0.1536522E+03
  0.30,  0.9957208E+00,  0.1654509E+03
  0.40,  0.9963310E+00,  0.1732665E+03
  0.50,  0.8578813E+00,  0.1796412E+03
  0.60,  0.9959191E+00,  0.6055848E+01
  0.70,  0.9959990E+00,  0.1364964E+02
  0.80,  0.9895782E+00,  0.2484969E+02
  0.90,  0.9552489E+00,  0.4591047E+02
