#phase,      #real(PD),      #real(PA)
  0.00,  0.9726518E+00,  0.8883169E+02
  0.10,  0.9755791E+00,  0.1117763E+03
  0.20,  0.9816859E+00,  0.1324046E+03
  0.30,  0.9862949E+00,  0.1499964E+03
  0.40,  0.9863440E+00,  0.1652463E+03
  0.50,  0.8044368E+00,  0.1791582E+03
  0.60,  0.9854577E+00,  0.1331706E+02
  0.70,  0.9865852E+00,  0.2839063E+02
  0.80,  0.9822622E+00,  0.4570381E+02
  0.90,  0.9761445E+00,  0.6602885E+02
