#phase,      #real(PD),      #real(PA)
  0.00,  0.9729345E+00,  0.8884130E+02
  0.10,  0.9796529E+00,  0.1110033E+03
  0.20,  0.9913085E+00,  0.1277495E+03
  0.30,  0.9987728E+00,  0.1366401E+03
  0.40,  0.9853998E+00,  0.1324637E+03
  0.50,  0.8171844E+00,  0.9297369E+02
  0.60,  0.9780969E+00,  0.4938128E+02
  0.70,  0.9991427E+00,  0.4300747E+02
  0.80,  0.9922877E+00,  0.5098003E+02
  0.90,  0.9808550E+00,  0.6701620E+02
