#phase,      #real(PD),      #real(PA)
  0.00,  0.9789726E+00,  0.8898797E+02
  0.10,  0.9878824E+00,  0.1076017E+03
  0.20,  0.9984064E+00,  0.1180975E+03
  0.30,  0.9989106E+00,  0.1185937E+03
  0.40,  0.9892786E+00,  0.1090935E+03
  0.50,  0.9789726E+00,  0.9101203E+02
  0.60,  0.9878824E+00,  0.7239829E+02
  0.70,  0.9984064E+00,  0.6190250E+02
  0.80,  0.9989106E+00,  0.6140633E+02
  0.90,  0.9892786E+00,  0.7090649E+02
