#phase,      #real(PD),      #real(PA)
  0.00,  0.9625106E+00,  0.8863002E+02
  0.10,  0.9669773E+00,  0.1154744E+03
  0.20,  0.9747222E+00,  0.1395563E+03
  0.30,  0.9760120E+00,  0.1613530E+03
  0.40,  0.9397146E+00,  0.7357606E+01
  0.50,  0.3206731E+00,  0.8198594E+02
  0.60,  0.9249350E+00,  0.1689164E+03
  0.70,  0.9753465E+00,  0.1644239E+02
  0.80,  0.9752775E+00,  0.3820462E+02
  0.90,  0.9677939E+00,  0.6196870E+02
