#phase,      #real(PD),      #real(PA)
  0.00,  0.9572232E+00,  0.8853330E+02
  0.10,  0.9574045E+00,  0.1178407E+03
  0.20,  0.9554912E+00,  0.1473104E+03
  0.30,  0.9434183E+00,  0.1787762E+03
  0.40,  0.9039966E+00,  0.3714805E+02
  0.50,  0.8562877E+00,  0.8729349E+02
  0.60,  0.8980544E+00,  0.1383711E+03
  0.70,  0.9410733E+00,  0.1778087E+03
  0.80,  0.9549363E+00,  0.2968611E+02
  0.90,  0.9573929E+00,  0.5923139E+02
