#phase,      #real(PD),      #real(PA)
  0.00,  0.9721422E+00,  0.8882535E+02
  0.10,  0.9720898E+00,  0.1123153E+03
  0.20,  0.9706482E+00,  0.1359821E+03
  0.30,  0.9615634E+00,  0.1612739E+03
  0.40,  0.8998391E+00,  0.1502850E+02
  0.50,  0.5875098E+00,  0.8515111E+02
  0.60,  0.8822036E+00,  0.1603187E+03
  0.70,  0.9594798E+00,  0.1594780E+02
  0.80,  0.9702746E+00,  0.4160750E+02
  0.90,  0.9720544E+00,  0.6533446E+02
