#phase,      #real(PD),      #real(PA)
  0.00,  0.6261404E+00,  0.8543337E+02
  0.10,  0.9542909E+00,  0.1488337E+03
  0.20,  0.9956647E+00,  0.1658130E+03
  0.30,  0.9987357E+00,  0.1724811E+03
  0.40,  0.9981999E+00,  0.1765666E+03
  0.50,  0.8629094E+00,  0.1798184E+03
  0.60,  0.9977731E+00,  0.3085680E+01
  0.70,  0.9988101E+00,  0.7039451E+01
  0.80,  0.9963336E+00,  0.1329055E+02
  0.90,  0.9661402E+00,  0.2831415E+02
