#phase,      #real(PD),      #real(PA)
  0.00,  0.9925313E+00,  0.8939318E+02
  0.10,  0.9945744E+00,  0.1009492E+03
  0.20,  0.9985240E+00,  0.1089693E+03
  0.30,  0.9996496E+00,  0.1107775E+03
  0.40,  0.9940466E+00,  0.1045047E+03
  0.50,  0.9872030E+00,  0.9078003E+02
  0.60,  0.9931384E+00,  0.7659217E+02
  0.70,  0.9994369E+00,  0.6946282E+02
  0.80,  0.9988368E+00,  0.7053453E+02
  0.90,  0.9949638E+00,  0.7803657E+02
