#phase,      #real(PD),      #real(PA)
  0.00,  0.1826080E+00,  0.7650927E+02
  0.10,  0.9753337E+00,  0.1642268E+03
  0.20,  0.9972864E+00,  0.1762906E+03
  0.30,  0.9975252E+00,  0.2990508E+01
  0.40,  0.9828983E+00,  0.1369786E+02
  0.50,  0.1826080E+00,  0.7650927E+02
  0.60,  0.9753337E+00,  0.1642268E+03
  0.70,  0.9972864E+00,  0.1762906E+03
  0.80,  0.9975252E+00,  0.2990508E+01
  0.90,  0.9828983E+00,  0.1369786E+02
