#phase,      #real(PD),      #real(PA)
  0.00,  0.9820622E+00,  0.8906183E+02
  0.10,  0.9884128E+00,  0.1066125E+03
  0.20,  0.9976441E+00,  0.1176905E+03
  0.30,  0.9993982E+00,  0.1196494E+03
  0.40,  0.9886112E+00,  0.1108340E+03
  0.50,  0.9733124E+00,  0.9113506E+02
  0.60,  0.9867234E+00,  0.7070812E+02
  0.70,  0.9989949E+00,  0.6071159E+02
  0.80,  0.9982226E+00,  0.6168248E+02
  0.90,  0.9894912E+00,  0.7191459E+02
